Domain,Registrar,Creation_Date,Update_Date,SSL_Issuer,SSL_TTL,IPv4_Num,NumOfIPs,SPF,MX,DKIM,DMARC,AS,HTTP_Status,Server,Entropy,Vowel_Ratio,Consonant_Ratio,Numerical_Ratio,Special_Char_Ratio,Vowel_Sequence,Consonant_Sequence,Numerical_Sequence,Special_Char_Sequence,Is_Unicode,Levenshtein_Distance,Contains_Blacklisted,Last_is_sk,Location,Class
certovica.sk,"ACTIVE 24, s.r.o.",4.0,3.0,Google Trust Services,71,1746042713,1,0,1,0,0,13335,200,cloudflare,3.42,0.33,0.58,0.0,0.0,1,2,0,0,False,11,False,False,Canada,0
airjordan.sk,Gransy s.r.o.,4.0,3.0,Google Trust Services,39,1746229127,2,0,0,0,0,13335,403,cloudflare,3.25,0.33,0.58,0.0,0.0,2,2,0,0,False,11,False,False,Canada,1
763829.sk,Gransy s.r.o.,3.0,3.0,Google Trust Services,65,1746210817,7,0,0,0,0,13335,0,None,3.17,0.0,0.22,0.67,0.0,0,2,6,0,False,8,False,False,Canada,1
guess-eshop.sk,Gransy s.r.o.,3.0,3.0,Google Trust Services,78,1746228916,2,0,0,0,0,13335,200,cloudflare,3.09,0.29,0.57,0.0,0.07,2,2,0,1,False,13,True,False,Canada,1
kiplingsk.sk,Gransy s.r.o.,4.0,3.0,Let's Encrypt,67,3301231154,1,0,0,0,0,58065,200,Apache,2.86,0.17,0.75,0.0,0.0,1,4,0,0,False,11,False,True,Finland,1
mizunoslovenskostore.sk,Gransy s.r.o.,4.0,3.0,Let's Encrypt,44,3304430024,1,0,0,0,0,41564,200,Apache,3.57,0.35,0.61,0.0,0.0,1,3,0,0,False,22,True,False,Slovakia,1
copytrend.sk,"ACTIVE 24, s.r.o.",4.0,2.0,Let's Encrypt,65,521079393,1,1,1,0,1,25234,200,nginx,3.58,0.25,0.67,0.0,0.0,1,2,0,0,False,11,False,False,Czechia,1
maxinn.sk,"Webglobe, a.s.",4.0,3.0,Let's Encrypt,32,3107705727,1,1,1,1,0,43541,200,nginx,2.95,0.22,0.67,0.0,0.0,1,2,0,0,False,8,False,False,Czechia,0
granithotels.sk,"Webglobe, a.s.",4.0,3.0,Let's Encrypt,89,1482889634,1,1,1,1,1,24940,200,Apache/2.4.59 (Debian),3.64,0.27,0.67,0.0,0.0,1,2,0,0,False,14,False,False,Germany,0
hotelnitra.sk,"Webglobe, a.s.",4.0,3.0,Let's Encrypt,46,3645054498,1,1,1,1,1,5578,200,nginx,3.55,0.31,0.62,0.0,0.0,1,2,0,0,False,12,False,False,Slovakia,0
pneuspisska.sk,"WebHouse, s.r.o.",4.0,3.0,Let's Encrypt,89,786819090,1,1,1,0,0,29405,200,nginx,2.95,0.29,0.64,0.0,0.0,2,3,0,0,False,13,False,False,Slovakia,0
bastacom.sk,"Webglobe, a.s.",4.0,3.0,Let's Encrypt,33,3645054478,1,1,1,1,1,5578,200,nginx,3.1,0.27,0.64,0.0,0.0,1,2,0,0,False,10,False,False,Slovakia,0
expresnyposudok.sk,"ACTIVE 24, s.r.o.",4.0,3.0,Let's Encrypt,59,521079298,1,1,1,0,0,25234,200,nginx,3.46,0.33,0.61,0.0,0.0,1,3,0,0,False,17,False,False,Czechia,1
bazsostrechy.sk,"Platon Technologies, s.r.o.",4.0,1.0,None,0,1442374146,1,0,1,0,0,5578,200,nginx,3.59,0.27,0.67,0.0,0.0,1,3,0,0,False,14,False,False,Slovakia,0
bapodetva.sk,EXO TECHNOLOGIES spol. s r.o.,4.0,3.0,Let's Encrypt,72,1559297352,1,1,1,0,0,29405,200,None,3.42,0.33,0.58,0.0,0.0,1,2,0,0,False,11,False,False,Slovakia,0
pumaeshop.sk,"WEDOS Internet, a.s.",3.0,3.0,Google Trust Services,66,1746223105,7,0,0,0,0,13335,520,cloudflare,3.25,0.33,0.58,0.0,0.0,2,2,0,0,False,11,True,False,Canada,1
rimavskasobota.sk,"WEBY GROUP, s.r.o.",4.0,3.0,Let's Encrypt,86,1383588041,1,1,1,0,1,5578,200,Apache,3.29,0.35,0.59,0.0,0.0,1,3,0,0,False,16,False,False,Slovakia,0
miracles.sk,"ACTIVE 24, s.r.o.",4.0,3.0,ZeroSSL,56,3108035365,1,1,1,0,1,43541,200,nginx,3.28,0.27,0.64,0.0,0.0,1,2,0,0,False,10,False,False,Czechia,0
skechers-tenisky.sk,Gransy s.r.o.,3.0,3.0,Google Trust Services,77,2890115723,2,0,0,0,0,13335,200,cloudflare,3.33,0.26,0.63,0.0,0.05,1,2,0,1,False,18,True,False,Canada,1
b2tech.sk,Websupport s.r.o.,4.0,2.0,Let's Encrypt,45,1358045878,1,1,1,0,0,44234,200,Apache/2.4.38 (Debian),3.17,0.11,0.67,0.11,0.0,1,2,1,0,False,8,False,False,Slovakia,0
kupeledudince.sk,"Webglobe, a.s.",4.0,2.0,DigiCert Inc,190,3560513664,1,1,1,1,1,48689,200,nginx,3.33,0.38,0.56,0.0,0.0,1,2,0,0,False,15,True,False,Slovakia,0
zlavyvsk.sk,Gransy s.r.o.,4.0,2.0,Let's Encrypt,57,1310199456,1,0,0,0,0,43541,404,nginx,2.91,0.18,0.73,0.0,0.0,1,3,0,0,False,10,False,True,Czechia,1
bdke.sk,Websupport s.r.o.,4.0,2.0,Let's Encrypt,20,621391749,1,1,1,0,0,51013,200,openresty,2.52,0.14,0.71,0.0,0.0,1,3,0,0,False,6,False,False,Slovakia,0
euronics.sk,"INTERNET CZ, a.s.",4.0,2.0,Let's Encrypt,86,3107704893,1,1,1,0,1,43541,200,nginx,3.28,0.36,0.55,0.0,0.0,2,2,0,0,False,10,False,False,Czechia,0
hotelzobor.sk,"Webglobe, a.s.",4.0,3.0,Let's Encrypt,63,3560513617,1,1,1,1,1,48689,200,nginx,3.33,0.31,0.62,0.0,0.0,1,2,0,0,False,12,False,False,Slovakia,0
kupeleciz.sk,Websupport s.r.o.,4.0,3.0,Let's Encrypt,78,786819149,1,1,1,0,0,29405,200,Apache,3.25,0.33,0.58,0.0,0.0,1,2,0,0,False,11,True,False,Slovakia,0
ospreyslovensko.sk,Gransy s.r.o.,4.0,3.0,Google Trust Services,83,1746227994,2,0,0,0,0,13335,500,cloudflare,3.24,0.33,0.61,0.0,0.0,2,3,0,0,False,17,True,False,Canada,1
forbes.sk,EXO TECHNOLOGIES spol. s r.o.,4.0,1.0,Google Trust Services,80,1746534897,3,1,1,0,1,13335,403,cloudflare,2.95,0.22,0.67,0.0,0.0,1,2,0,0,False,8,False,False,Canada,0
beautissimo.sk,"WebHouse, s.r.o.",4.0,2.0,Let's Encrypt,57,586667193,1,1,1,0,1,16509,200,nginx,3.32,0.43,0.5,0.0,0.0,3,2,0,0,False,13,False,False,Ireland,0
babolna-bio.sk,"WEBY GROUP, s.r.o.",4.0,4.0,None,0,3645052472,1,1,1,0,1,5578,200,Framer/978f767,3.18,0.36,0.5,0.0,0.07,2,2,0,1,False,13,False,False,Slovakia,0
benefity.sk,NEOMEDIA s.r.o.,4.0,3.0,None,0,1450107339,1,0,1,0,0,29405,200,Apache,3.28,0.36,0.55,0.0,0.0,1,2,0,0,False,10,False,False,Slovakia,0
beefhouse.sk,Websupport s.r.o.,4.0,3.0,Let's Encrypt,26,621391772,1,1,1,0,0,51013,200,openresty,3.02,0.42,0.5,0.0,0.0,2,2,0,0,False,11,False,False,Slovakia,0
badas.sk,"Slovak Telekom, a.s.",4.0,3.0,None,0,1442346079,1,1,1,0,0,5578,200,Apache,2.5,0.25,0.62,0.0,0.0,1,2,0,0,False,7,False,False,Slovakia,0
bapesk.sk,Gransy s.r.o.,3.0,3.0,Google Trust Services,38,2890107992,2,0,0,0,0,13335,200,cloudflare,2.73,0.22,0.67,0.0,0.0,1,2,0,0,False,8,False,True,Canada,1
rented.sk,Websupport s.r.o.,4.0,3.0,Let's Encrypt,27,621391811,1,1,1,0,0,51013,200,openresty,2.95,0.22,0.67,0.0,0.0,1,2,0,0,False,8,False,False,Slovakia,0
outdoorzone.sk,"INTERNET CZ, a.s.",4.0,3.0,Let's Encrypt,63,3266728000,1,1,1,0,1,24806,200,Apache,3.24,0.43,0.5,0.0,0.0,2,2,0,0,False,13,False,False,Czechia,0
klu-druzba.sk,"Proxis, spol. s r.o.",4.0,3.0,Let's Encrypt,64,1369595139,1,1,1,1,0,57606,200,nginx,3.39,0.23,0.62,0.0,0.08,1,2,0,1,False,12,False,False,Slovakia,0
baugrouptzb.sk,Websupport s.r.o.,4.0,3.0,Let's Encrypt,41,621391771,1,1,1,0,0,51013,200,openresty,3.52,0.29,0.64,0.0,0.0,2,4,0,0,False,13,False,False,Slovakia,0
hoteltatra.sk,Websupport s.r.o.,4.0,2.0,Sectigo Limited,206,621391795,1,1,1,0,1,51013,200,openresty,3.18,0.31,0.62,0.0,0.0,1,2,0,0,False,12,False,False,Slovakia,0
