Domain,Registrar,Creation_Date,Update_Date,SSL_Issuer,SSL_TTL,IPv4_Num,NumOfIPs,SPF,MX,DKIM,DMARC,AS,HTTP_Status,Server,Entropy,Vowel_Ratio,Consonant_Ratio,Numerical_Ratio,Special_Char_Ratio,Vowel_Sequence,Consonant_Sequence,Numerical_Sequence,Special_Char_Sequence,Is_Unicode,Levenshtein_Distance,Contains_Blacklisted,Last_is_sk,Location,Class
hotelharmonia.sk,"Webglobe, a.s.",4.0,3.0,None,21,3283482645,1,1,1,1,1,48689,200,nginx,3.62,0.38,0.56,0.0,0.0,2,2,0,0,False,15,False,False,Slovakia,0
dbreality.sk,Websupport s.r.o.,4.0,3.0,Let's Encrypt,37,621391797,1,1,1,0,0,51013,200,openresty,3.58,0.33,0.58,0.0,0.0,2,3,0,0,False,11,False,False,Slovakia,0
baarcotish.sk,Websupport s.r.o.,4.0,3.0,Let's Encrypt,88,621391795,1,1,1,0,0,51013,200,openresty,3.39,0.31,0.62,0.0,0.0,2,2,0,0,False,12,False,False,Slovakia,0
becode.sk,Websupport s.r.o.,4.0,3.0,Let's Encrypt,68,1280054549,1,1,1,0,1,16509,200,Vercel,2.95,0.33,0.56,0.0,0.0,1,2,0,0,False,8,False,False,United States,0
bkf.sk,Websupport s.r.o.,4.0,1.0,Let's Encrypt,26,621391803,1,1,1,0,0,51013,200,openresty,2.25,0.0,0.83,0.0,0.0,0,3,0,0,False,5,False,False,Slovakia,0
bkspdroznava.sk,"INTERNET CZ, a.s.",4.0,2.0,Let's Encrypt,43,3118874554,3,0,0,0,0,58182,404,Pepyaka,3.51,0.2,0.73,0.0,0.0,1,6,0,0,False,14,False,False,United States,0
skisachticky.sk,"Webglobe, a.s.",4.0,3.0,Let's Encrypt,48,3283482644,1,1,1,1,1,48689,200,nginx,3.01,0.27,0.67,0.0,0.0,1,3,0,0,False,14,False,False,Slovakia,0
bapesk.sk,Gransy s.r.o.,3.0,3.0,Google Trust Services,37,2890107992,2,0,0,0,0,13335,200,cloudflare,2.73,0.22,0.67,0.0,0.0,1,2,0,0,False,8,False,True,Canada,1
abchotel.sk,"WEDOS Internet, a.s.",4.0,2.0,None,0,1507710285,1,0,1,0,0,197019,200,ATS,3.46,0.27,0.64,0.0,0.0,1,3,0,0,False,10,False,False,Czechia,0
bauker.sk,"Slovak Telekom, a.s.",4.0,3.0,Let's Encrypt,86,1559297387,1,1,1,0,0,29405,200,None,2.95,0.33,0.56,0.0,0.0,2,2,0,0,False,8,False,False,Slovakia,0
huglo.sk,"Hilberman Capital, s.r.o.",4.0,4.0,Google Trust Services,58,1746218765,2,1,1,0,0,13335,200,cloudflare,3.0,0.25,0.62,0.0,0.0,1,2,0,0,False,7,False,False,Canada,1
lyziarskaskola.sk,"Webglobe, a.s.",4.0,3.0,Let's Encrypt,29,621391772,1,1,1,0,0,51013,200,openresty,3.13,0.35,0.59,0.0,0.0,2,3,0,0,False,16,False,False,Slovakia,0
soslovenskekasino.sk,Key-Systems GmbH,4.0,2.0,Google Trust Services,41,2890118429,2,1,1,0,1,13335,200,cloudflare,3.07,0.35,0.6,0.0,0.0,1,3,0,0,False,19,True,False,Canada,1
vencovky.sk,SOLTEC s.r.o.,4.0,3.0,None,0,1364799788,1,1,1,0,0,29405,200,Apache/2.4.37 (centos) OpenSSL/1.1.1k mod_fcgid/2.3.9 PHP/7.3.33,3.1,0.27,0.64,0.0,0.0,1,2,0,0,False,10,False,False,Slovakia,0
bastapajstun.sk,"Mediate, s.r.o.",4.0,3.0,DigiCert Inc,337,621390063,1,1,1,0,0,51013,200,None,3.14,0.27,0.67,0.0,0.0,1,3,0,0,False,14,False,False,Slovakia,0
balazova-preklady.sk,Websupport s.r.o.,4.0,2.0,Let's Encrypt,19,621391772,1,1,1,0,0,51013,200,openresty,3.72,0.35,0.55,0.0,0.05,1,2,0,1,False,19,False,False,Slovakia,0
uniza.sk,Websupport s.r.o.,4.0,3.0,GEANT Vereniging,70,2663461076,1,1,1,1,1,2607,200,WebServer,3.0,0.38,0.5,0.0,0.0,1,2,0,0,False,7,False,False,Slovakia,0
victoriasecretsk.sk,Gransy s.r.o.,4.0,3.0,Let's Encrypt,71,3301189207,1,0,0,0,0,58065,200,Apache,3.37,0.32,0.63,0.0,0.0,2,3,0,0,False,18,False,True,France,1
barte.sk,"WebHouse, s.r.o.",4.0,2.0,None,385,1450111981,1,1,1,0,1,29405,200,Apache,3.0,0.25,0.62,0.0,0.0,1,2,0,0,False,7,False,False,Slovakia,0
bbraun-avitum.sk,"Webglobe, s.r.o.",4.0,3.0,None,0,1047369552,1,0,1,0,0,29134,200,None,3.62,0.31,0.56,0.0,0.06,2,3,0,1,False,15,False,False,Czechia,0
barservis.sk,"FreeTech.digital, s. r. o.",4.0,3.0,Let's Encrypt,36,3237668115,1,1,1,1,0,209341,200,LiteSpeed,3.02,0.25,0.67,0.0,0.0,1,2,0,0,False,11,False,False,Germany,0
