Domain,Registrar,Creation_Date,Update_Date,Registration_Period,SSL_Issuer,SSL_TTL,Validity_Length,SAN_Count,IPv4_Num,NumOfIPs,SPF,MX,DKIM,DMARC,AS,HTTP_Status,Server,Entropy,Vowel_Ratio,Consonant_Ratio,Numerical_Ratio,Special_Char_Ratio,Vowel_Sequence,Consonant_Sequence,Numerical_Sequence,Special_Char_Sequence,Is_Unicode,Levenshtein_Distance,Contains_Blacklisted,Last_is_sk,Location,Class
hotelelizabeth.sk,DELNET s.r.o.,4,3,5146,Google Trust Services,52,90,2,1746223105,7,1,1,0,1,13335,200,cloudflare,3.45,0.35,0.59,0.0,0.0,1,2,0,0,0,16,0,0,Canada,0
neziskoveorganizacie.sk,"SWAN, a. s.",4,3,4018,Let's Encrypt,69,89,2,1450107240,1,0,0,0,0,29405,200,Apache,3.59,0.43,0.52,0.0,0.0,2,2,0,0,0,22,0,0,Slovakia,0
ocmax.sk,Websupport s.r.o.,4,3,6997,Let's Encrypt,64,89,2,621391771,1,1,1,0,1,51013,200,openresty,3.0,0.25,0.62,0.0,0.0,1,2,0,0,0,7,0,0,Slovakia,0
salomonoutlet.sk,Gransy s.r.o.,4,3,1096,Let's Encrypt,45,89,2,2665349651,1,0,0,0,0,63119,200,Apache,3.33,0.38,0.56,0.0,0.0,2,2,0,0,0,15,1,0,USA,1
legeroslovensko.sk,"WebHouse, s.r.o.",3,3,365,Google Trust Services,86,90,2,1746212991,2,0,0,0,0,13335,403,cloudflare,3.16,0.33,0.61,0.0,0.0,1,3,0,0,0,17,1,0,Canada,1
vagabondtopanky.sk,"WebHouse, s.r.o.",3,3,365,Google Trust Services,37,90,2,2890124370,2,0,0,0,0,13335,403,cloudflare,3.57,0.33,0.61,0.0,0.0,1,3,0,0,0,17,1,0,Canada,1
bosplast.sk,Websupport s.r.o.,4,2,5479,Let's Encrypt,78,89,2,621391747,1,1,1,0,0,51013,200,openresty,3.03,0.18,0.73,0.0,0.0,1,3,0,0,0,10,0,0,Slovakia,0
hotelzelenydvor.sk,Websupport s.r.o.,4,3,8015,Let's Encrypt,31,89,1,621391796,1,1,1,0,0,51013,200,openresty,3.68,0.33,0.61,0.0,0.0,1,2,0,0,0,17,0,0,Slovakia,0
calvinkleineshop.sk,NETIM,4,1,1096,ZeroSSL,84,90,2,2783436293,1,0,0,0,0,58065,403,nginx,3.62,0.32,0.63,0.0,0.0,2,3,0,0,0,18,1,0,USA,1
victoriassecretsk.sk,Gransy s.r.o.,4,3,731,Let's Encrypt,73,89,8,2783395901,1,0,0,0,0,48950,200,Apache,3.32,0.3,0.65,0.0,0.0,2,3,0,0,0,19,0,1,Germany,1
bershkask.sk,Gransy s.r.o.,4,3,1096,Let's Encrypt,37,89,8,2665349653,1,0,0,0,0,63119,200,Apache,2.79,0.17,0.75,0.0,0.0,1,4,0,0,0,11,0,1,USA,1
the-north-face.sk,Gransy s.r.o.,3,3,365,Let's Encrypt,29,89,8,3304240022,1,0,0,0,0,58065,200,Apache,3.62,0.24,0.59,0.0,0.12,1,3,0,1,0,16,0,0,South Africa,1
smartwoodslovakia.sk,Gransy s.r.o.,4,2,1461,Let's Encrypt,29,89,2,1297993485,1,1,1,0,0,24971,200,Apache/2.4.62 (Debian),3.51,0.35,0.6,0.0,0.0,2,3,0,0,0,19,1,0,Czechia,1
karllagerfeldsk.sk,Gransy s.r.o.,3,3,365,Google Trust Services,33,90,2,2890105518,2,0,0,0,0,13335,200,cloudflare,3.2,0.22,0.72,0.0,0.0,1,4,0,0,0,17,0,1,Canada,1
futurewin.sk,Websupport s.r.o.,4,3,3652,Let's Encrypt,30,89,2,621391805,1,1,1,0,0,51013,200,openresty,3.42,0.33,0.58,0.0,0.0,1,2,0,0,0,11,0,0,Slovakia,1
sorelslovensko.sk,Gransy s.r.o.,4,4,1461,Unknown,-1,-1,-1,3304430026,1,0,0,0,0,41564,403,Apache,2.98,0.29,0.65,0.0,0.0,1,3,0,0,0,16,1,0,Slovakia,1
corteiz.sk,Gransy s.r.o.,4,3,731,Let's Encrypt,86,89,2,3301248099,1,0,0,0,0,41564,200,Apache,3.32,0.3,0.6,0.0,0.0,2,2,0,0,0,9,0,0,Poland,1
hotelimpiq.sk,KIOS a.s.,4,3,6940,Let's Encrypt,26,89,2,621391795,1,1,1,0,1,51013,200,openresty,3.55,0.31,0.62,0.0,0.0,1,2,0,0,0,12,0,0,Slovakia,0
