Domain,Registrar,Creation_Date,Update_Date,Registration_Period,SSL_Issuer,SSL_TTL,Validity_Length,SAN_Count,IPv4_Num,NumOfIPs,SPF,MX,DKIM,DMARC,AS,HTTP_Status,Server,Entropy,Vowel_Ratio,Consonant_Ratio,Numerical_Ratio,Special_Char_Ratio,Vowel_Sequence,Consonant_Sequence,Numerical_Sequence,Special_Char_Sequence,Is_Unicode,Levenshtein_Distance,Contains_Blacklisted,Last_is_sk,Location,Class
apartmentresidence.sk,"WebCreators, s. r. o.",4,3,6940,Let's Encrypt,54,89,2,3248704931,1,1,1,1,1,29405,200,nginx,3.54,0.33,0.62,0.0,0.0,1,3,0,0,0,20,0,0,Slovakia,0
alubal.sk,"DISCODERY Software Laboratory, s.r.o.",4,2,6583,Google Trust Services,39,90,2,1746227201,7,1,1,0,1,13335,200,cloudflare,2.73,0.33,0.56,0.0,0.0,1,2,0,0,0,8,0,0,Canada,0
abasoft.sk,EuroNET Slovakia s.r.o.,4,3,1826,Unknown,-1,-1,-1,3587669062,1,1,0,0,1,5578,200,Apache,2.92,0.3,0.6,0.0,0.0,1,2,0,0,0,9,0,0,Slovakia,0
andreashop.sk,"epix media, s.r.o.",4,3,8036,DigiCert Inc,86,388,2,3107704952,1,1,1,1,1,43541,200,nginx,3.39,0.31,0.62,0.0,0.0,2,3,0,0,0,12,1,0,Czechia,0
arkadia.sk,"Slovanet, a. s.",4,3,8036,Let's Encrypt,47,89,2,3273408614,1,1,1,0,0,8778,200,Apache,2.65,0.4,0.5,0.0,0.0,2,2,0,0,0,9,0,0,Slovakia,0
apollohotel.sk,Websupport s.r.o.,4,3,6940,Let's Encrypt,52,89,2,598498817,2,1,1,0,0,14618,403,nginx,3.13,0.36,0.57,0.0,0.0,1,2,0,0,0,13,0,0,USA,0
a1centrum.sk,"WebHouse, s.r.o.",4,3,4377,Let's Encrypt,57,89,2,1440184879,1,1,1,0,1,8560,200,nginx,3.58,0.25,0.58,0.08,0.0,1,3,1,0,0,11,0,0,Germany,0
supreme-slovensko.sk,Gransy s.r.o.,3,3,365,Let's Encrypt,32,89,2,2783395863,1,0,0,0,0,48950,200,Apache,3.48,0.3,0.6,0.0,0.05,1,3,0,1,0,19,1,0,Germany,1
akbalogova.sk,Websupport s.r.o.,4,3,5479,Let's Encrypt,71,89,2,621391796,1,1,1,0,0,51013,200,openresty,3.03,0.38,0.54,0.0,0.0,1,2,0,0,0,12,0,0,Slovakia,0
arkada.sk,"Webglobe, a.s.",4,3,8012,Let's Encrypt,83,89,2,3645054525,1,1,1,1,1,5578,200,nginx,2.42,0.33,0.56,0.0,0.0,1,2,0,0,0,8,0,0,Slovakia,0
alfavet.sk,"INTERNET CZ, a.s.",4,3,2557,Let's Encrypt,28,89,2,1360995606,1,1,1,0,1,24971,200,openresty,3.12,0.3,0.6,0.0,0.0,1,2,0,0,0,9,0,0,Czechia,0
abadio.sk,Websupport s.r.o.,4,2,2191,Let's Encrypt,11,89,2,621391773,1,1,1,0,1,51013,200,openresty,2.95,0.44,0.44,0.0,0.0,2,2,0,0,0,8,0,0,Slovakia,0
aktuality.sk,Ringier Slovakia Media s.r.o.,4,2,8087,Sectigo Limited,256,384,2,1542140963,1,1,1,0,1,57788,200,nginx,3.08,0.42,0.5,0.0,0.0,2,2,0,0,0,11,0,0,Slovakia,0
acana.sk,"CRAP, s.r.o.",4,2,8392,Let's Encrypt,67,89,2,621391772,1,1,1,0,0,51013,200,openresty,2.41,0.38,0.5,0.0,0.0,1,2,0,0,0,7,0,0,Slovakia,0
101drogeria.sk,Websupport s.r.o.,4,1,730,Let's Encrypt,35,89,2,621391811,1,1,1,0,0,51013,200,openresty,3.52,0.29,0.43,0.21,0.0,2,2,3,0,0,13,0,0,Slovakia,0
superfitsk.sk,Gransy s.r.o.,4,3,1096,Let's Encrypt,36,89,2,3304337285,1,0,0,0,0,58065,200,Apache,3.18,0.23,0.69,0.0,0.0,1,3,0,0,0,12,0,1,Canada,1
abchotel.sk,"WEDOS Internet, a.s.",4,2,4748,Unknown,-1,-1,-1,1507710285,1,0,1,0,0,197019,200,ATS,3.46,0.27,0.64,0.0,0.0,1,3,0,0,0,10,0,0,Czechia,0
ab-vet.sk,"INTERNET CZ, a.s.",4,4,6575,Actalis S.p.A.,185,386,2,1359135548,1,0,1,0,0,24806,200,Microsoft-IIS/10.0,3.17,0.22,0.56,0.0,0.11,1,2,0,1,0,8,0,0,Czechia,0
admi-sluzby.sk,"Webglobe, a.s.",4,3,4388,Let's Encrypt,20,89,2,3283482788,1,1,1,1,1,48689,200,nginx,3.66,0.29,0.57,0.0,0.07,1,2,0,1,0,13,0,0,Slovakia,0
123dodavatel.sk,"ACTIVE 24, s.r.o.",4,2,6209,Let's Encrypt,66,89,2,1541289010,1,1,1,0,0,198346,200,nginx,3.64,0.27,0.47,0.2,0.0,1,2,3,0,0,14,0,0,Czechia,0
aaaauto.sk,"Webglobe, a.s.",4,2,8035,Sectigo Limited,10,365,2,1572431471,1,1,1,0,1,43541,200,nginx,2.52,0.6,0.3,0.0,0.0,5,2,0,0,0,9,0,0,Czechia,0
101drogerie.sk,Websupport s.r.o.,4,3,8036,Let's Encrypt,85,89,3,621391795,1,1,1,0,1,51013,200,openresty,3.38,0.29,0.43,0.21,0.0,2,2,3,0,0,13,0,0,Slovakia,0
decathlon.sk,Corporation Service Company (DBS) GmbH,4,3,6940,Google Trust Services,60,89,1,1746013327,2,1,1,0,0,13335,403,cloudflare,3.58,0.25,0.67,0.0,0.0,1,3,0,0,0,11,0,0,Canada,0
supratopanky.sk,Gransy s.r.o.,3,3,365,Google Trust Services,83,90,2,2890108601,2,0,0,0,0,13335,403,cloudflare,3.37,0.33,0.6,0.0,0.0,1,2,0,0,0,14,1,0,Canada,1
3trade.sk,"WebCreators, s. r. o.",4,3,7670,Let's Encrypt,42,89,2,3248704794,1,1,1,1,1,29405,200,nginx,3.17,0.22,0.56,0.11,0.0,1,2,1,0,0,8,0,0,Slovakia,0
acquamarea.sk,"Platon Technologies, s.r.o.",4,1,6942,GlobalSign nv-sa,160,396,2,1442374146,1,1,1,0,0,5578,200,nginx,3.09,0.46,0.46,0.0,0.0,2,2,0,0,0,12,0,0,Slovakia,0
supreme-sk.sk,Gransy s.r.o.,4,1,730,Let's Encrypt,76,89,2,3304375224,1,0,0,0,0,41564,200,Apache,3.03,0.23,0.62,0.0,0.08,1,2,0,1,0,12,0,1,Singapore,1
autoskolavav.sk,Websupport s.r.o.,4,3,5479,Let's Encrypt,46,89,2,621391805,1,1,1,0,0,51013,200,openresty,3.06,0.4,0.53,0.0,0.0,2,2,0,0,0,14,0,0,Slovakia,0
ambassador.sk,bart.sk s.r.o.,4,1,6321,DigiCert Inc,54,396,2,1364799887,1,0,1,0,0,29405,200,Apache/2.4.62 (AlmaLinux) OpenSSL/3.2.2,2.97,0.31,0.62,0.0,0.0,1,2,0,0,0,12,0,0,Slovakia,0
