Domain,Registrar,Creation_Date,Update_Date,SSL_Issuer,SSL_TTL,A_Record,NumOfIPs,TXTRecord,SPF,MX,DKIM,DMARC,AS,HTTP_Status,Server,Content,Entropy,Vowel_Ratio,Consonant_Ratio,Numerical_Ratio,Special_Char_Ratio,Vowel_Sequence,Consonant_Sequence,Numerical_Sequence,Special_Char_Sequence,Is_Unicode,Levenshtein_Distance,Location,Class
bojnice.sk,"WEBY GROUP, s.r.o.",4,3,Let's Encrypt,55,82.119.224.201,1,1,1,1,0,1,5578,200,Apache,text/html; charset=utf-8,3.32,0.3,0.6,0.0,0.0,1,2,0,0,False,5,Slovakia,0
zoznam.sk,"Zoznam, s.r.o.",4,2,Sectigo Limited,380,213.81.185.100,1,1,1,1,0,1,6855,200,cloudflare,text/html; charset=utf-8,2.95,0.22,0.67,0.0,0.0,1,2,0,0,False,1,Slovakia,0
baronka.sk,"Webglobe, a.s.",4,3,Let's Encrypt,28,195.181.249.10,1,1,1,1,1,1,48689,200,nginx,text/html; charset=UTF-8,2.92,0.3,0.6,0.0,0.0,1,2,0,0,False,4,Slovakia,0
puchov.sk,"Webglobe, a.s.",4,3,None,0,None,0,1,1,1,1,1,None,0,None,None,3.17,0.22,0.67,0.0,0.0,1,2,0,0,False,5,None,0
kvizmajster.sk,Marian Illéš-DELPHINE COMPUTERS & SOFTWARE STUDIO,4,4,Let's Encrypt,79,109.74.156.49,1,1,1,1,0,1,29405,200,Apache,text/html; charset=UTF-8,3.52,0.21,0.71,0.0,0.0,1,3,0,0,False,1,Slovakia,0
hoteldalia.sk,"WebHouse, s.r.o.",4,3,Let's Encrypt,42,46.229.230.45,1,1,1,1,0,1,29405,0,None,None,3.39,0.38,0.54,0.0,0.0,2,2,0,0,False,3,Slovakia,0
hotelrubin.sk,"Slovak Telekom, a.s.",4,3,None,0,None,0,0,0,0,0,0,None,0,None,None,3.7,0.31,0.62,0.0,0.0,1,2,0,0,False,4,None,0
kupelesliac.sk,"Webglobe, a.s.",4,2,Let's Encrypt,69,37.9.175.197,1,1,1,1,0,1,51013,200,openresty,text/html; charset=utf-8,3.24,0.36,0.57,0.0,0.0,2,2,0,0,False,1,Slovakia,0
sk-cert.sk,Národná agentúra pre sieťové a elektronické služby,4,3,Google Trust Services,43,104.21.25.135,2,1,1,1,0,1,13335,200,cloudflare,text/html,2.92,0.1,0.7,0.0,0.1,1,2,0,1,False,1,Canada,0
vavakademy.sk,Websupport s.r.o.,4,3,Let's Encrypt,51,37.9.175.188,1,1,1,1,0,0,51013,200,openresty,text/html; charset=UTF-8,3.03,0.38,0.54,0.0,0.0,1,2,0,0,False,1,Slovakia,0
hotelgrandnz.sk,"WebHouse, s.r.o.",4,3,None,110,46.229.230.45,1,1,1,1,0,1,29405,0,Apache,text/html,3.77,0.2,0.73,0.0,0.0,1,4,0,0,False,6,Slovakia,0
autoskoladarivcak.sk,Websupport s.r.o.,4,3,None,0,46.28.107.238,1,1,1,1,0,0,197019,200,Apache,text/html; charset=UTF-8,3.48,0.4,0.55,0.0,0.0,2,2,0,0,False,1,Czechia,0
otvaracie-hodiny.sk,"WebHouse, s.r.o.",4,1,Let's Encrypt,87,52.28.35.14,1,1,1,1,0,1,16509,200,Apache/2.4.7 (Ubuntu),text/html; charset=utf-8,3.93,0.42,0.47,0.0,0.05,2,2,0,1,False,1,Germany,0
hotelclavis.sk,Websupport s.r.o.,4,2,Let's Encrypt,37,31.15.10.184,1,1,1,1,0,0,25234,200,nginx,text/html; charset=UTF-8,3.52,0.29,0.64,0.0,0.0,1,3,0,0,False,5,Czechia,0
hotelmatysak.sk,"Slovak Telekom, a.s.",4,3,Let's Encrypt,46,37.9.175.187,1,1,1,1,0,0,51013,200,openresty,text/html; charset=UTF-8,3.37,0.33,0.6,0.0,0.0,1,2,0,0,False,5,Slovakia,0
hoteltaxis.sk,Websupport s.r.o.,4,3,Let's Encrypt,35,37.9.175.133,1,1,1,1,0,0,51013,200,openresty,text/html; charset=UTF-8,3.39,0.31,0.62,0.0,0.0,1,2,0,0,False,5,Slovakia,0
hoteleden.sk,KIOS a.s.,4,3,None,66,37.9.175.180,1,1,1,1,0,0,51013,200,openresty,text/html,3.19,0.33,0.58,0.0,0.0,1,2,0,0,False,4,Slovakia,0
hotelmaraton.sk,"WEBY GROUP, s.r.o.",4,2,None,0,93.184.65.142,1,1,1,1,0,1,29405,200,nginx,text/html; charset=utf-8,3.51,0.33,0.6,0.0,0.0,1,2,0,0,False,6,Slovakia,0
hotelmartinskehole.sk,Websupport s.r.o.,4,3,Let's Encrypt,52,37.9.175.180,1,1,1,1,0,0,51013,200,openresty,text/html; charset=UTF-8,3.59,0.33,0.62,0.0,0.0,1,3,0,0,False,1,Slovakia,0
refresher.sk,Websupport s.r.o.,4,1,Google Trust Services,83,104.26.15.220,3,1,1,1,0,1,13335,200,cloudflare,text/html; charset=UTF-8,2.63,0.25,0.67,0.0,0.0,1,2,0,0,False,1,Canada,0
