Domain,Registrar,Creation_Date,Update_Date,SSL_Issuer,SSL_TTL,First octet,Second octet,Third octet,Fourth octet,NumOfIPs,TXTRecord,SPF,MX,DKIM,DMARC,AS,HTTP_Status,Server,Entropy,Vowel_Ratio,Consonant_Ratio,Numerical_Ratio,Special_Char_Ratio,Vowel_Sequence,Consonant_Sequence,Numerical_Sequence,Special_Char_Sequence,Is_Unicode,Levenshtein_Distance,Location,Class
hoteljavorna.sk,Websupport s.r.o.,4.0,3.0,Let's Encrypt,43,37,9,175,132,1,1,1,1,0,0,51013,200,openresty,3.64,0.33,0.6,0.0,0.0,1,2,0,0,False,1,Slovakia,0
auparkkosice.sk,"Webglobe, a.s.",4.0,1.0,Let's Encrypt,69,57,153,167,86,1,1,1,1,0,1,8075,200,nginx,3.32,0.4,0.53,0.0,0.0,2,3,0,0,False,1,Netherlands,0
zvolen.sk,"WEBY GROUP, s.r.o.",4.0,2.0,Let's Encrypt,74,82,119,224,201,1,1,1,1,0,1,5578,200,Apache,3.17,0.22,0.67,0.0,0.0,1,2,0,0,False,5,Slovakia,0
lidl.sk,INWX GmbH,4.0,3.0,SwissSign AG,159,104,103,88,216,1,1,1,1,0,1,16625,200,myracloud,2.52,0.14,0.71,0.0,0.0,1,2,0,0,False,1,United States,0
kupele-stos.sk,EXO TECHNOLOGIES spol. s r.o.,4.0,3.0,Let's Encrypt,80,92,240,253,72,1,1,1,1,0,0,29405,200,None,3.18,0.29,0.57,0.0,0.07,1,2,0,1,False,1,Slovakia,0
rysyhotel.sk,EXO TECHNOLOGIES spol. s r.o.,4.0,3.0,Let's Encrypt,32,62,171,135,176,1,1,1,1,0,0,51167,200,nginx/1.18.0 (Ubuntu),3.25,0.33,0.58,0.0,0.0,1,2,0,0,False,1,France,0
centralshopping.sk,Websupport s.r.o.,4.0,3.0,Let's Encrypt,87,37,9,175,188,1,1,1,1,0,0,51013,200,openresty,3.84,0.22,0.72,0.0,0.0,1,3,0,0,False,1,Slovakia,0
zoznam.sk,"Zoznam, s.r.o.",4.0,3.0,Sectigo Limited,369,213,81,185,100,1,1,1,1,0,1,6855,200,cloudflare,2.95,0.22,0.67,0.0,0.0,1,2,0,0,False,1,Slovakia,0
laspalmas.sk,"ACTIVE 24, s.r.o.",4.0,2.0,Let's Encrypt,32,3,125,172,46,2,0,0,1,0,0,16509,200,openresty,2.63,0.25,0.67,0.0,0.0,1,2,0,0,False,6,Germany,0
mikulasskachata.sk,"Webglobe, a.s.",4.0,1.0,Let's Encrypt,55,157,230,78,190,1,1,1,1,1,1,14061,400,nginx,3.2,0.33,0.61,0.0,0.0,1,3,0,0,False,1,Germany,0
autoskolakmk.sk,Websupport s.r.o.,4.0,3.0,Let's Encrypt,43,37,9,175,188,1,1,1,1,0,0,51013,200,openresty,2.97,0.33,0.6,0.0,0.0,2,3,0,0,False,1,Slovakia,0
stuba.sk,"SWAN, a. s.",4.0,3.0,GEANT Vereniging,255,147,175,1,60,1,1,1,1,0,1,2607,200,Apache,2.75,0.25,0.62,0.0,0.0,1,2,0,0,False,1,Slovakia,0
mlyny-nitra.sk,"Webglobe, a.s.",4.0,1.0,Let's Encrypt,69,57,153,167,86,1,1,1,1,0,1,8075,200,nginx,3.52,0.29,0.57,0.0,0.07,1,2,0,1,False,1,Netherlands,0
101drogerie.sk,Websupport s.r.o.,4.0,3.0,Let's Encrypt,27,37,9,175,179,1,1,1,1,0,1,51013,200,openresty,3.38,0.29,0.43,0.21,0.0,2,2,3,0,False,1,Slovakia,0
snowparadise.sk,"CNC, a.s.",4.0,3.0,Let's Encrypt,89,195,201,116,118,1,1,1,1,0,0,24940,200,Apache/2.4.25 (Debian),3.46,0.33,0.6,0.0,0.0,1,2,0,0,False,1,Germany,0
financnasprava.sk,DataCentrum,4.0,2.0,DigiCert Inc,353,194,1,6,50,1,1,1,1,0,1,30898,200,None,3.22,0.29,0.65,0.0,0.0,1,3,0,0,False,10,Slovakia,0
skalica.sk,"Webglobe, a.s.",4.0,3.0,DigiCert Inc,292,88,86,102,9,1,1,1,1,1,1,39392,200,Microsoft-IIS/8.5,2.72,0.3,0.6,0.0,0.0,1,2,0,0,False,5,Czechia,0
hotelyplus.sk,EXO TECHNOLOGIES spol. s r.o.,4.0,3.0,Let's Encrypt,38,92,240,253,18,1,1,1,1,0,0,29405,200,None,3.39,0.31,0.62,0.0,0.0,1,2,0,0,False,1,Slovakia,0
bojnice.sk,"WEBY GROUP, s.r.o.",4.0,3.0,Let's Encrypt,44,82,119,224,201,1,1,1,1,0,1,5578,200,Apache,3.32,0.3,0.6,0.0,0.0,1,2,0,0,False,5,Slovakia,0
mestotlmace.sk,"WEBY GROUP, s.r.o.",4.0,3.0,Let's Encrypt,83,88,86,103,135,1,1,1,1,0,1,39392,200,Microsoft-IIS/8.5,3.24,0.29,0.64,0.0,0.0,1,3,0,0,False,7,Czechia,0
martin.sk,DATACOM.EU s.r.o.,4.0,2.0,Let's Encrypt,89,78,156,158,75,1,1,1,1,0,0,43542,200,Microsoft-IIS/10.0,3.17,0.22,0.67,0.0,0.0,1,2,0,0,False,3,Czechia,0
startitup.sk,"Webglobe, a.s.",4.0,2.0,Google Trust Services,58,104,26,13,117,3,1,1,1,1,1,13335,200,cloudflare,3.02,0.25,0.67,0.0,0.0,1,2,0,0,False,1,Canada,0
uniba.sk,Websupport s.r.o.,4.0,2.0,None,0,158,195,6,138,1,1,1,1,0,1,2607,0,None,3.0,0.38,0.5,0.0,0.0,1,2,0,0,False,1,Slovakia,0
autoskolakozel.sk,"Webglobe, a.s.",4.0,3.0,Let's Encrypt,80,195,181,248,45,1,1,1,1,1,1,48689,200,nginx,3.18,0.41,0.53,0.0,0.0,2,2,0,0,False,1,Slovakia,0
levoca.sk,"WEBY GROUP, s.r.o.",4.0,3.0,Let's Encrypt,82,51,91,81,147,1,1,0,1,0,1,16276,200,None,3.17,0.33,0.56,0.0,0.0,1,2,0,0,False,1,France,0
kaufland.sk,Gransy s.r.o.,4.0,2.0,SwissSign AG,178,34,149,249,52,1,1,1,1,0,1,396982,403,cloudflare,3.1,0.27,0.64,0.0,0.0,2,2,0,0,False,1,United States,0
rohacespalena.sk,Websupport s.r.o.,4.0,2.0,Let's Encrypt,37,37,9,175,155,1,1,1,1,0,1,51013,200,openresty,3.45,0.38,0.56,0.0,0.0,1,2,0,0,False,1,Slovakia,0
hoteldominika.sk,"Webglobe, a.s.",4.0,1.0,Let's Encrypt,85,37,9,175,156,1,1,1,1,0,0,51013,200,openresty,3.62,0.38,0.56,0.0,0.0,1,2,0,0,False,5,Slovakia,0
kupelesliac.sk,"Webglobe, a.s.",4.0,2.0,Let's Encrypt,58,37,9,175,197,1,1,1,1,0,1,51013,200,openresty,3.24,0.36,0.57,0.0,0.0,2,2,0,0,False,1,Slovakia,0
krompachy.sk,VÁDIUM - IT s.r.o.,4.0,3.0,Let's Encrypt,37,212,57,34,210,1,1,1,1,1,1,48689,200,nginx,3.42,0.25,0.67,0.0,0.0,1,2,0,0,False,5,Slovakia,0
staralubovna.sk,"Netix Solutions, s. r. o.",4.0,3.0,Let's Encrypt,33,46,28,105,86,1,1,1,1,0,1,197019,200,Apache,3.46,0.33,0.6,0.0,0.0,1,2,0,0,False,8,Czechia,0
vysneopatske.sk,"WEBY GROUP, s.r.o.",4.0,3.0,Let's Encrypt,45,82,119,224,201,1,1,1,1,0,1,5578,200,Apache,3.32,0.33,0.6,0.0,0.0,2,3,0,0,False,9,Slovakia,0
autotrendy.sk,"Platon Technologies, s.r.o.",4.0,3.0,Let's Encrypt,16,85,248,228,151,1,1,1,1,0,0,5578,200,nginx,3.55,0.38,0.54,0.0,0.0,2,2,0,0,False,1,Slovakia,0
vodeko.sk,"Slovanet, a. s.",4.0,3.0,None,0,46,28,107,241,1,1,1,1,0,0,197019,200,Apache,2.73,0.33,0.56,0.0,0.0,1,2,0,0,False,1,Czechia,0
hotelsquash.sk,EXO TECHNOLOGIES spol. s r.o.,4.0,3.0,Let's Encrypt,53,92,240,253,14,1,1,1,1,0,0,29405,200,None,3.32,0.29,0.64,0.0,0.0,2,3,0,0,False,6,Slovakia,0
pravda.sk,"Webglobe, a.s.",4.0,3.0,DigiCert Inc,67,217,67,31,48,1,1,1,1,1,1,5578,200,nginx/1.10.3 (Ubuntu),2.95,0.22,0.67,0.0,0.0,1,2,0,0,False,1,Slovakia,0
podmaz.sk,"SWAN, a. s.",4.0,3.0,Let's Encrypt,43,172,105,90,44,1,1,1,1,0,0,63949,200,nginx/1.18.0 (Ubuntu),3.17,0.22,0.67,0.0,0.0,1,2,0,0,False,1,Germany,0
hotelcolor.sk,Websupport s.r.o.,4.0,3.0,Let's Encrypt,38,37,9,175,155,1,1,1,1,0,1,51013,200,openresty,3.18,0.31,0.62,0.0,0.0,1,2,0,0,False,4,Slovakia,0
hotelsomka.sk,"Webglobe, a.s.",4.0,3.0,Let's Encrypt,62,83,169,43,108,1,1,1,1,1,1,20773,200,Apache,3.24,0.31,0.62,0.0,0.0,1,2,0,0,False,1,Germany,0
